0 1 2
994024065982717952 5635 45698
993944355051376640 0 7
993889355365257217 5 714
993889039714578432 12382 77954
993629544463642624 10962 65931
993551676568195072 0 22
993551435202793473 1 19
993550370105430016 0 11
993550075723964417 5 154
993549188377055232 0 27
993547462743920640 0 209
993545616734195718 13 477
993479993828298752 8 789
993289347507027968 8074 73562
992835484916346880 0 6
992569952627560448 2 18
992459058547445760 3919 23973
992434549517881345 2 33
992241336677003264 38543 0
992215164064817153 121733 0
992198572664860672 7991 73963
992108928791187456 0 17
991837800474599427 29 1289
991837596887248896 7 794
991837147522064384 11160 95634
991744823156793349 0 284
991744041351090177 5576 46052
991489999869800448 196 1498
991468452232691712 0 34
991403058625118208 6 465
991401309407465473 9 720
991399795892916224 13401 85258
991146093462413312 0 5
991121306576879616 0 18
991117474551795712 0 10
991117346990362624 0 22
991116499271278593 452 7045
990987750601093120 9054 59055
990745189298917376 11368 77913
990701505018761219 0 2
990371169185476608 1 139
990370849608871936 5679 46649
990357021038915586 3 243
990321351926992896 9399 65399
989933119900999681 3978 18133
989931745297432576 0 4
989657223084244992 16184 87618
989537883743834112 333 3740
989362797472632832 0 6
989323987221172224 0 14
989319704715153408 3239 0
989300750152069120 19548 107739
989288720976277506 131836 0
989279937629696000 0 9
989177131887415301 0 17
989176681243070464 7660 59665
988932682615853057 14072 97390
988894684037644288 195985 0
988573045076963328 7386 0
988515600426299392 0 11
988515510550659073 0 40
988455306224128006 6013 49511
988208849340510209 17021 120296
988146597958750209 0 74
988145802106241025 0 74
988092954836430848 0 40
988086600117694464 0 121
988085358024970241 982 7510
987838487218057216 155006 0
987713213474201601 11722 0
987501841939423232 1 87
987398687562371072 3118 21002
987347825716580352 357107 0
986762231290490881 18172 115362
986692586785165312 65 981
986639920189108224 10584 75684
986394000415485952 14760 82239
986031318713683969 3195 54780
985925506536235008 0 2
985700162956865536 466 0
985592491792625666 43110 192562
985375275281207296 32 267
985227249023684608 0 33
985197159451512832 8284 59232
985012722675978240 0 20
984978760968671232 5 213
984977443814559744 5 504
984899768471248896 3437 21834
984594512780709888 8878 77023
984428686752538625 0 6
984230513396285441 5869 54191
984170643120906241 3 476
984169992051679233 114510 0
983850009203544065 10082 68995
983786873339432960 121 0
983745489492414464 63 2480
983499273294802944 7 508
983498439844663296 5967 53678
983451560633143296 0 192
983136864742887426 1 420
983135207464361984 1 656
983133464315691008 19438 128818
982701575922577413 6877 44121
982518140117504000 0 36
982317111094624256 2 83
982306667474780160 5164 33656
982014460561850368 25 739
981929074846322689 6419 49967
981895068075417600 0 3
981894806703169536 8 655
981684648836296704 5334 48287
981654415810744322 0 22
981619256528965633 36 479
981567107325399041 6215 56437
981544683678650368 0 28
981374074000732160 36 991
981373465516179456 0 50
981337691219521537 9 246
981322022591574021 11302 87180
981263996010598405 0 29
981260031617327105 0 22
981237453209112576 1375 0
980959359982297088 0 152
980958432772714498 6297 50338
980931791367430150 2 32
980837983178907649 4841 46478
980675033742888960 2 164
980620436445761536 79466 0
980611193751654400 87682 0
980596811772637184 12 414
980514397431959552 12 454
980487837186437121 11 712
980459826756145152 13615 93321
980219547147014144 4546 48105
980164400203141120 0 3
980116183511912454 0 49
980116064263696385 2 56
979793640552845313 11 875
979760817448062976 11 699
979754666236968960 6312 41419
979387798296977414 11085 76243
979214795093180417 0 1
979092927136911360 5 242
979053905400262656 0 59
979023664120295424 6 881
979022640504557568 11483 76038
978808485986086912 1 142
978808316385267712 117101 0
978780154754404352 0 21
978696256754241536 0 11
978695695011020801 1 72
978694905349492736 830 10056
978613739200098304 0 158
978423766077333505 8095 63519
978384552266752001 0 49
978358307462279168 1485 0
978357145493176320 0 53
978298085767045120 12838 72306
977652629764534275 1 106
977630329145102338 15522 67151
977382454444085249 67 1646
977382316623396864 125 2274
977307019790241793 12 190
977255873734168577 0 75
977250814082371584 6 290
977247893974405120 4 46
977245818951520256 2591 16932
977237280124555264 25989 0
977225792659836928 2 26
977194539613122560 16 2291
977193624265023488 7413 34274
977018919402770432 0 27
976965618112061440 14643 70298
976946948891607041 2 275
976898807727312896 8 590
976898286786433024 418074 0
976613067894247424 8347 56658
976497585828646912 12307 74244
976201779556864004 190 1807
976128197015359496 13640 0
975887646223462400 7209 56884
975834684440662016 13 514
975813116507324416 128641 0
975774985401896962 6 456
975767258600542208 5303 46073
975566242114428929 3 146
975523487984115713 25 875
975522681985658880 6393 52482
975500755632259072 118 2555
975483369701158912 158 2681
975427749312647168 6597 60122
975174472536817665 5 492
975171819568320512 5658 52828
974860918596218880 1 19
974851340194189312 10043 55015
974815485052309504 15 338
974787819083321345 1 67
974770212024344578 83 1250
974746320262062080 0 7
974717631033987073 3257 22347
974667468366020614 238 5937
974440398528700422 19370 0
974343342887784448 458 0
974317372013244416 11416 70502
974075638272462848 16911 86824
974067371806806016 1 20
974062596746829824 0 137
973981914032943104 0 4
